datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2022-07-15 12:11:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15950.3,15956.6,15949.8,15954.8,11900,12116950,3926
2022-07-15 12:12:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15954.7,15959.4,15951.15,15957.4,9900,12116950,3927
2022-07-15 12:13:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15955,15957,15949.85,15957,16650,12116950,3928
2022-07-15 12:14:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15958,15963.9,15957.55,15960,9150,12126850,3929
2022-07-15 12:15:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15959.35,15967.15,15956.95,15960.15,17850,12126850,3930
2022-07-15 12:16:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15962.6,15965.5,15959.9,15959.9,7350,12126850,3931
2022-07-15 12:17:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15958.8,15963.8,15957,15962.25,4350,12128400,3932
2022-07-15 12:18:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15960.4,15962,15957.35,15957.35,4300,12128400,3933
2022-07-15 12:19:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15957.1,15957.1,15948.25,15953.2,16100,12128400,3934
2022-07-15 12:20:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15952.15,15953,15948,15951.1,6200,12132950,3935
2022-07-15 12:21:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15951.05,15958.95,15950.75,15951.15,9050,12132950,3936
2022-07-15 12:22:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15951,15956.6,15948.85,15952,8550,12132950,3937
2022-07-15 12:23:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15951.25,15953.65,15948.35,15949,7650,12138750,3938
2022-07-15 12:24:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15948.35,15953.95,15948,15951.75,5600,12138750,3939
2022-07-15 12:25:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15951,15951,15936,15936,81600,12138750,3940
2022-07-15 12:26:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15935.15,15939.9,15931.3,15936.65,36550,12125250,3941
2022-07-15 12:27:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15936,15941.4,15935,15941.4,21200,12125250,3942
2022-07-15 12:28:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15939,15945.85,15937,15944.65,12400,12125250,3943
2022-07-15 12:29:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15945,15957.9,15945,15949.85,29800,12137400,3944
2022-07-15 12:30:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15951,15963.3,15950,15954,20550,12137400,3945
2022-07-15 12:31:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15954.3,15955.1,15948.8,15951.05,8000,12137400,3946
2022-07-15 12:32:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15951.65,15960,15951.1,15954.15,12450,12138750,3947
2022-07-15 12:33:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15954.15,15962.65,15952.5,15958.15,13100,12138750,3948
2022-07-15 12:34:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15959.5,15967.2,15959.5,15964.3,14700,12138750,3949
2022-07-15 12:35:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15966.1,15967.45,15955,15955.65,21700,12144600,3950
2022-07-15 12:36:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15956,15956,15946.3,15947,15300,12144600,3951
2022-07-15 12:37:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15946.1,15949,15942.75,15945.2,13600,12144600,3952
2022-07-15 12:38:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15946,15955.1,15945.2,15955.1,9900,12154300,3953
2022-07-15 12:39:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15957,15957.85,15952,15955.2,5000,12154300,3954
2022-07-15 12:40:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15957.5,15959.95,15953,15958.65,4200,12154300,3955
2022-07-15 12:41:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15959,15961.5,15950.05,15950.1,16050,12161100,3956
2022-07-15 12:42:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15950.9,15953.3,15945.55,15947.1,7600,12161100,3957
2022-07-15 12:43:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15946,15950.6,15942,15947.55,17700,12161100,3958
2022-07-15 12:44:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15947.1,15956.45,15947.1,15954.1,5550,12157900,3959
2022-07-15 12:45:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15951.2,15963,15951.05,15961.2,13500,12157900,3960
2022-07-15 12:46:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15962,15967.75,15961,15966,18050,12157900,3961
2022-07-15 12:47:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15966.45,15975.3,15965.8,15972.4,31300,12150500,3962
2022-07-15 12:48:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15973.25,15973.9,15966.3,15970.1,14100,12150500,3963
2022-07-15 12:49:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15969.8,15982,15969.8,15980,29950,12150500,3964
2022-07-15 12:50:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15980.55,15983.95,15973.5,15974.55,14100,12148250,3965
2022-07-15 12:51:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15973.9,15981.95,15973.9,15981.95,11550,12148250,3966
2022-07-15 12:52:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15981,15984,15980.8,15983.3,18150,12148250,3967
2022-07-15 12:53:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15981.7,15985,15980,15981.1,20500,12140600,3968
2022-07-15 12:54:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15983.05,15983.8,15978.7,15978.75,16900,12140600,3969
2022-07-15 12:55:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15980.15,15985,15977.45,15982.1,16700,12140600,3970
2022-07-15 12:56:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15981.2,15983.3,15976.6,15976.6,16900,12153250,3971
2022-07-15 12:57:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15976,15980.35,15970.15,15970.15,18250,12153250,3972
2022-07-15 12:58:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15970,15974.25,15970,15974.25,11200,12153250,3973
2022-07-15 12:59:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15974,15980,15974,15977.5,10750,12160600,3974
2022-07-15 13:00:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15980,15994,15980,15994,53800,12160600,3975
2022-07-15 13:01:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15992,15993.75,15985,15985,22150,12160600,3976
2022-07-15 13:02:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15986,15988.35,15979.05,15983,15150,12160600,3977
2022-07-15 13:03:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15982.05,15983.1,15972,15972,18100,12160600,3978
2022-07-15 13:04:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15971.65,15975.25,15968.8,15971.75,10150,12160600,3979
2022-07-15 13:05:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15973.45,15990.45,15971.65,15988,14400,12171250,3980
2022-07-15 13:06:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15987.65,15992,15980.6,15986.05,10800,12171250,3981
2022-07-15 13:07:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15988.6,15990,15982.85,15987,8300,12171250,3982
2022-07-15 13:08:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15988.55,15992,15985,15989.25,12300,12178650,3983
2022-07-15 13:09:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15991.1,15995,15990,15990,21650,12178650,3984
2022-07-15 13:10:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15990.9,15991,15986,15991,12450,12178650,3985
2022-07-15 13:11:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15991.55,15995,15984.65,15984.65,18600,12178550,3986
2022-07-15 13:12:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15987.05,15989.3,15983.65,15984.15,6050,12178550,3987
2022-07-15 13:13:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15986,15987.25,15977.45,15986.15,21450,12178550,3988
2022-07-15 13:14:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15987,15993,15982,15987.7,16450,12188300,3989
2022-07-15 13:15:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15987.1,15995.9,15987.1,15994,18850,12188300,3990
2022-07-15 13:16:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15993.45,15994.05,15987,15991.95,11250,12188300,3991
2022-07-15 13:17:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15990.5,15991.05,15984.5,15984.5,7500,12194050,3992
2022-07-15 13:18:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15985,15989,15978.4,15979.9,17800,12194050,3993
2022-07-15 13:19:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15979.95,15983.1,15975,15980,11500,12194050,3994
2022-07-15 13:20:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15978.05,15982.25,15972.1,15979.7,11900,12194150,3995
2022-07-15 13:21:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15978.1,15984.25,15978.1,15980.5,9700,12194150,3996
2022-07-15 13:22:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15978.1,15981,15974,15980.95,12300,12194150,3997
2022-07-15 13:23:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15980,15983.15,15974,15974.1,4100,12198550,3998
2022-07-15 13:24:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15974.7,15979.4,15970,15977.55,8850,12198550,3999
2022-07-15 13:25:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15976.65,15985,15976.65,15985,6600,12198550,4000
2022-07-15 13:26:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15986,15987.85,15975.15,15975.5,14800,12194700,4001
2022-07-15 13:27:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15974.15,15982,15971.25,15982,11500,12194700,4002
2022-07-15 13:28:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15981.1,15986,15978,15982.3,8050,12194700,4003
2022-07-15 13:29:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15983.6,15986,15982.5,15983.85,2900,12195150,4004
2022-07-15 13:30:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15985,15986.7,15972.1,15972.1,7450,12195150,4005
2022-07-15 13:31:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15971.25,15971.25,15960,15961.05,44500,12195150,4006
2022-07-15 13:32:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15959.95,15967.4,15959.65,15961,26600,12194850,4007
2022-07-15 13:33:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15960.95,15969.4,15957.15,15964.45,11350,12194850,4008
2022-07-15 13:34:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15964.25,15966.55,15957,15959.95,50150,12194850,4009
2022-07-15 13:35:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15959.35,15966.9,15959.05,15966.9,16700,12217750,4010
2022-07-15 13:36:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15968.15,15968.95,15965,15967.25,4350,12217750,4011
2022-07-15 13:37:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15969,15971,15964,15964,15200,12217750,4012
2022-07-15 13:38:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15966.1,15969.85,15964,15968.3,5450,12228400,4013
2022-07-15 13:39:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15969.8,15973.7,15969.8,15971.8,6550,12228400,4014
2022-07-15 13:40:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15970,15977.65,15969.9,15970,6750,12228400,4015
2022-07-15 13:41:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15969.25,15971.35,15964,15967,3750,12227150,4016
2022-07-15 13:42:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15966.1,15967,15962.95,15962.95,2700,12227150,4017
2022-07-15 13:43:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15963.65,15967.25,15961,15967.25,15350,12227150,4018
2022-07-15 13:44:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15967.8,15969.3,15962.3,15962.3,3400,12227150,4019
2022-07-15 13:45:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15962,15965,15957,15957,18050,12233400,4020
2022-07-15 13:46:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15958,15963.7,15955,15962.7,16100,12233400,4021
2022-07-15 13:47:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15963.8,15967.45,15961.75,15964.8,10200,12233400,4022
2022-07-15 13:48:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15964.25,15971.95,15964.25,15966.85,9900,12223500,4023
2022-07-15 13:49:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15968.15,15969.15,15962.5,15962.5,6350,12223500,4024
2022-07-15 13:50:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15964.2,15970.95,15963.15,15970.95,3600,12223500,4025
2022-07-15 13:51:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15969.45,15969.85,15961.2,15961.25,7250,12221550,4026
2022-07-15 13:52:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15962.65,15967,15961.45,15963.95,8400,12221550,4027
2022-07-15 13:53:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15966.95,15975,15966.95,15975,10600,12221550,4028
2022-07-15 13:54:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15973.85,15983.25,15973.65,15980.8,21800,12216600,4029
2022-07-15 13:55:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15981.15,15986,15980.1,15982.05,18800,12216600,4030
2022-07-15 13:56:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15983,15983.95,15976.45,15979.3,7000,12216600,4031
2022-07-15 13:57:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15981.65,15984.7,15981.25,15983,9950,12215500,4032
2022-07-15 13:58:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15983.05,15988,15981,15986.3,13800,12215500,4033
2022-07-15 13:59:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15987,15988,15983,15985.55,5650,12215500,4034
2022-07-15 14:00:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15986.65,15990.35,15981.7,15984,13800,12214300,4035
2022-07-15 14:01:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15984.4,15985.25,15979.2,15980,6750,12214300,4036
